dir,image,class,brightness
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10277/0,10277_idx5_x651_y2001_class0.png,0,210.3144
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12910/0,12910_idx5_x2801_y651_class0.png,0,200.9964
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/15514/1,15514_idx5_x1101_y1501_class1.png,1,156.894
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/13616/1,13616_idx5_x2451_y1101_class1.png,1,172.8716
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/13616/1,13616_idx5_x2101_y2151_class1.png,1,169.8724
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12878/0,12878_idx5_x1001_y201_class0.png,0,202.7768
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10279/0,10279_idx5_x801_y401_class0.png,0,203.2236
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/13916/1,13916_idx5_x851_y1301_class1.png,1,189.408
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12891/1,12891_idx5_x1701_y1551_class1.png,1,158.7888
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12819/1,12819_idx5_x1351_y2751_class1.png,1,154.5968
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/14188/1,14188_idx5_x1551_y1701_class1.png,1,174.8776
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9344/1,9344_idx5_x2051_y1051_class1.png,1,162.4036
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/16166/1,16166_idx5_x1651_y1051_class1.png,1,133.368
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12900/0,12900_idx5_x1551_y1151_class0.png,0,223.3992
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12869/0,12869_idx5_x1651_y201_class0.png,0,220.9284
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10273/1,10273_idx5_x1801_y1801_class1.png,1,131.7812
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/8865/0,8865_idx5_x1501_y2151_class0.png,0,224.5916
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/13613/1,13613_idx5_x2101_y2301_class1.png,1,176.0336
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/8914/0,8914_idx5_x1351_y1251_class0.png,0,202.51
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10305/0,10305_idx5_x401_y1601_class0.png,0,216.2388
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12826/0,12826_idx5_x651_y1651_class0.png,0,166.3824
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9259/0,9259_idx5_x651_y101_class0.png,0,211.936
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12907/1,12907_idx5_x1501_y1701_class1.png,1,161.8276
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/13022/0,13022_idx5_x1101_y1701_class0.png,0,173.524
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12817/0,12817_idx5_x2901_y451_class0.png,0,197.6228
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12879/0,12879_idx5_x351_y201_class0.png,0,191.4116
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10300/0,10300_idx5_x1751_y1051_class0.png,0,181.416
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10286/1,10286_idx5_x1601_y701_class1.png,1,151.5924
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/15513/0,15513_idx5_x601_y1701_class0.png,0,196.0092
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10303/1,10303_idx5_x2701_y1101_class1.png,1,170.3908
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10308/1,10308_idx5_x2301_y1101_class1.png,1,139.5568
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12242/1,12242_idx5_x2451_y901_class1.png,1,166.2128
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9250/0,9250_idx5_x301_y1401_class0.png,0,194.5944
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12907/0,12907_idx5_x2401_y1501_class0.png,0,183.8524
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9345/0,9345_idx5_x1451_y1201_class0.png,0,220.7612
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12875/0,12875_idx5_x1201_y701_class0.png,0,218.7476
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12895/1,12895_idx5_x2051_y1201_class1.png,1,146.49
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12895/0,12895_idx5_x2901_y551_class0.png,0,191.4068
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/8975/0,8975_idx5_x3251_y901_class0.png,0,184.0508
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12932/1,12932_idx5_x1751_y1101_class1.png,1,164.1428
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9023/0,9023_idx5_x1201_y1501_class0.png,0,182.5812
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/8914/0,8914_idx5_x1201_y1651_class0.png,0,199.7468
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/14154/1,14154_idx5_x1551_y551_class1.png,1,151.248
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12819/0,12819_idx5_x2901_y951_class0.png,0,218.558
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9344/0,9344_idx5_x201_y2251_class0.png,0,223.2664
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/13916/0,13916_idx5_x751_y1801_class0.png,0,189.2248
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12810/0,12810_idx5_x701_y1251_class0.png,0,203.4452
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9228/0,9228_idx5_x1801_y1401_class0.png,0,211.4748
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9176/0,9176_idx5_x1501_y451_class0.png,0,209.2968
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9181/0,9181_idx5_x701_y1_class0.png,0,206.6472
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10277/0,10277_idx5_x2351_y1501_class0.png,0,217.7952
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10299/1,10299_idx5_x1151_y351_class1.png,1,134.9188
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9035/0,9035_idx5_x951_y151_class0.png,0,180.6664
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/14156/0,14156_idx5_x2651_y2101_class0.png,0,202.2784
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10276/0,10276_idx5_x151_y701_class0.png,0,207.7312
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12894/0,12894_idx5_x2101_y1901_class0.png,0,179.444
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/15472/0,15472_idx5_x2901_y201_class0.png,0,211.8556
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10273/1,10273_idx5_x1201_y1901_class1.png,1,139.0644
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/13692/1,13692_idx5_x1751_y851_class1.png,1,157.89
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12900/1,12900_idx5_x2101_y1901_class1.png,1,170.7944
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12811/0,12811_idx5_x751_y451_class0.png,0,210.2044
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12930/0,12930_idx5_x701_y1701_class0.png,0,200.8856
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/8913/0,8913_idx5_x2101_y401_class0.png,0,204.226
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9347/0,9347_idx5_x801_y351_class0.png,0,201.9708
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9254/0,9254_idx5_x1201_y1051_class0.png,0,210.1864
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12891/0,12891_idx5_x401_y201_class0.png,0,208.7364
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/13460/0,13460_idx5_x551_y2051_class0.png,0,208.5604
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10276/0,10276_idx5_x1301_y1651_class0.png,0,191.8244
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10273/0,10273_idx5_x851_y1251_class0.png,0,189.4888
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9226/1,9226_idx5_x1101_y2001_class1.png,1,136.1748
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10276/0,10276_idx5_x601_y251_class0.png,0,167.5592
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12880/0,12880_idx5_x2401_y901_class0.png,0,172.162
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9081/0,9081_idx5_x2201_y1501_class0.png,0,185.3508
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/13019/0,13019_idx5_x1051_y101_class0.png,0,184.6824
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/8863/0,8863_idx5_x1151_y1701_class0.png,0,168.1652
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12910/0,12910_idx5_x1851_y101_class0.png,0,172.112
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9035/0,9035_idx5_x651_y201_class0.png,0,200.7816
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/8914/0,8914_idx5_x301_y1001_class0.png,0,180.6672
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9077/1,9077_idx5_x2151_y1451_class1.png,1,144.6152
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/14191/1,14191_idx5_x2251_y1651_class1.png,1,162.9516
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/15515/0,15515_idx5_x2451_y201_class0.png,0,207.9188
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/8975/0,8975_idx5_x1601_y2501_class0.png,0,173.424
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9176/0,9176_idx5_x1951_y201_class0.png,0,174.908
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9225/0,9225_idx5_x2301_y701_class0.png,0,180.2768
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12892/0,12892_idx5_x1951_y801_class0.png,0,219.4604
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/14157/1,14157_idx5_x2501_y1501_class1.png,1,173.9348
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10292/0,10292_idx5_x2851_y901_class0.png,0,218.824
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10268/0,10268_idx5_x601_y1251_class0.png,0,169.8752
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10278/0,10278_idx5_x901_y1201_class0.png,0,198.6972
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12931/0,12931_idx5_x1651_y1001_class0.png,0,201.4556
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/15513/0,15513_idx5_x1651_y1351_class0.png,0,208.68
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10303/1,10303_idx5_x1001_y1501_class1.png,1,163.5584
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12900/0,12900_idx5_x1851_y401_class0.png,0,217.8784
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/13106/0,13106_idx5_x1801_y2801_class0.png,0,183.4616
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10262/0,10262_idx5_x1451_y501_class0.png,0,176.0044
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12869/0,12869_idx5_x2151_y1051_class0.png,0,184.494
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/16550/1,16550_idx5_x2451_y1501_class1.png,1,158.1328
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9078/0,9078_idx5_x3401_y1351_class0.png,0,168.568
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/8917/1,8917_idx5_x951_y351_class1.png,1,166.016
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/15840/1,15840_idx5_x301_y901_class1.png,1,147.6244
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/13694/0,13694_idx5_x1551_y2651_class0.png,0,203.0212
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/14154/0,14154_idx5_x601_y251_class0.png,0,170.71
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10268/0,10268_idx5_x1351_y401_class0.png,0,187.7344
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/13462/1,13462_idx5_x701_y901_class1.png,1,182.7864
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9254/0,9254_idx5_x901_y751_class0.png,0,213.6492
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/16569/0,16569_idx5_x351_y1351_class0.png,0,184.6072
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12911/1,12911_idx5_x2001_y901_class1.png,1,150.0112
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/16569/0,16569_idx5_x401_y1201_class0.png,0,173.4052
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9256/0,9256_idx5_x1451_y1501_class0.png,0,207.7364
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12823/1,12823_idx5_x3251_y1201_class1.png,1,171.6432
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10303/1,10303_idx5_x1701_y1051_class1.png,1,188.9336
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9173/1,9173_idx5_x1901_y2251_class1.png,1,158.5632
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12880/1,12880_idx5_x751_y2101_class1.png,1,156.8764
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12626/0,12626_idx5_x1251_y2501_class0.png,0,201.1932
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/8974/1,8974_idx5_x1651_y1451_class1.png,1,157.1376
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10286/0,10286_idx5_x2101_y1001_class0.png,0,218.0812
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12877/0,12877_idx5_x1051_y101_class0.png,0,211.276
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12824/0,12824_idx5_x1351_y951_class0.png,0,185.4516
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12891/0,12891_idx5_x3051_y1401_class0.png,0,219.4236
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/13461/0,13461_idx5_x901_y551_class0.png,0,181.8996
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9037/0,9037_idx5_x301_y201_class0.png,0,199.8216
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12890/0,12890_idx5_x1501_y1901_class0.png,0,188.002
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9267/1,9267_idx5_x2351_y1401_class1.png,1,179.5368
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12810/0,12810_idx5_x1151_y2151_class0.png,0,223.3092
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12911/0,12911_idx5_x901_y1_class0.png,0,208.8724
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/13021/1,13021_idx5_x1951_y451_class1.png,1,151.6372
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/8863/0,8863_idx5_x351_y1351_class0.png,0,167.6696
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/8955/1,8955_idx5_x1501_y751_class1.png,1,143.7532
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9177/0,9177_idx5_x1601_y1151_class0.png,0,211.4488
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/13019/0,13019_idx5_x951_y1051_class0.png,0,166.7196
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12882/1,12882_idx5_x1601_y401_class1.png,1,171.9936
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12242/1,12242_idx5_x1251_y551_class1.png,1,151.0768
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/16551/0,16551_idx5_x1601_y651_class0.png,0,204.6296
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9077/1,9077_idx5_x1701_y2051_class1.png,1,188.218
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12880/1,12880_idx5_x1851_y801_class1.png,1,164.7768
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10308/0,10308_idx5_x751_y851_class0.png,0,193.3508
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9077/0,9077_idx5_x1001_y101_class0.png,0,172.1364
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/13106/1,13106_idx5_x1501_y1951_class1.png,1,143.68
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12892/0,12892_idx5_x1951_y901_class0.png,0,198.5824
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10292/1,10292_idx5_x1401_y1601_class1.png,1,163.8632
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/13666/0,13666_idx5_x1101_y1_class0.png,0,184.2168
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10264/0,10264_idx5_x2101_y501_class0.png,0,176.2524
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9257/0,9257_idx5_x851_y451_class0.png,0,197.3764
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12908/0,12908_idx5_x1051_y401_class0.png,0,210.5852
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9383/0,9383_idx5_x1601_y1101_class0.png,0,218.1676
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9265/0,9265_idx5_x401_y1401_class0.png,0,195.306
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/15902/1,15902_idx5_x2651_y1401_class1.png,1,172.5608
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/8974/0,8974_idx5_x1901_y901_class0.png,0,187.9252
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/16550/0,16550_idx5_x1951_y1801_class0.png,0,205.8648
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9258/1,9258_idx5_x1601_y1201_class1.png,1,185.8668
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9077/1,9077_idx5_x2201_y651_class1.png,1,137.0096
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/16166/0,16166_idx5_x951_y1451_class0.png,0,190.3736
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/13462/0,13462_idx5_x1951_y1901_class0.png,0,187.7316
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/14188/0,14188_idx5_x1101_y801_class0.png,0,194.2984
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12931/0,12931_idx5_x501_y601_class0.png,0,170.4096
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10276/0,10276_idx5_x401_y651_class0.png,0,209.122
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/14153/0,14153_idx5_x1751_y1601_class0.png,0,219.2328
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10292/0,10292_idx5_x2401_y501_class0.png,0,197.4664
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12910/0,12910_idx5_x2251_y1001_class0.png,0,194.66
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12930/0,12930_idx5_x1851_y1701_class0.png,0,192.5636
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9290/0,9290_idx5_x651_y1801_class0.png,0,211.6328
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10278/0,10278_idx5_x1351_y1551_class0.png,0,209.0676
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12242/1,12242_idx5_x1801_y451_class1.png,1,143.9332
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9181/1,9181_idx5_x2151_y901_class1.png,1,133.0496
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9383/0,9383_idx5_x651_y701_class0.png,0,223.782
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/13693/0,13693_idx5_x2451_y751_class0.png,0,222.1656
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12750/0,12750_idx5_x1251_y301_class0.png,0,180.7108
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/15516/0,15516_idx5_x651_y1001_class0.png,0,189.7328
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/8975/0,8975_idx5_x701_y2251_class0.png,0,197.2508
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10308/0,10308_idx5_x1951_y251_class0.png,0,207.28
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10282/0,10282_idx5_x851_y1051_class0.png,0,169.5444
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12935/1,12935_idx5_x1301_y1051_class1.png,1,154.5912
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9225/0,9225_idx5_x901_y1151_class0.png,0,174.3116
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/14210/0,14210_idx5_x1701_y501_class0.png,0,191.12
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/13404/0,13404_idx5_x801_y1351_class0.png,0,206.262
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10260/1,10260_idx5_x1201_y401_class1.png,1,166.362
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12867/0,12867_idx5_x701_y1601_class0.png,0,218.3484
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/14153/0,14153_idx5_x1251_y2401_class0.png,0,181.2232
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9029/0,9029_idx5_x1551_y351_class0.png,0,175.2584
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12810/0,12810_idx5_x2401_y1351_class0.png,0,188.2848
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12884/1,12884_idx5_x1501_y751_class1.png,1,154.7308
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12819/0,12819_idx5_x1851_y951_class0.png,0,212.318
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12910/0,12910_idx5_x1451_y951_class0.png,0,180.466
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12880/1,12880_idx5_x2301_y1251_class1.png,1,154.5528
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10277/0,10277_idx5_x201_y1751_class0.png,0,183.2148
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9319/1,9319_idx5_x1951_y851_class1.png,1,164.4356
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12626/1,12626_idx5_x1501_y2051_class1.png,1,133.6324
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10274/1,10274_idx5_x1701_y551_class1.png,1,145.6044
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10272/0,10272_idx5_x901_y351_class0.png,0,208.8744
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/13024/0,13024_idx5_x2001_y1801_class0.png,0,179.886
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/16085/0,16085_idx5_x801_y651_class0.png,0,189.0312
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/13019/0,13019_idx5_x301_y1351_class0.png,0,169.0224
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/16896/0,16896_idx5_x251_y1851_class0.png,0,190.0724
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/13400/0,13400_idx5_x2301_y701_class0.png,0,211.6676
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/14156/0,14156_idx5_x2951_y251_class0.png,0,215.1692
